,fips,No. of clinics per 1000 women with demand
1143,22063,0.1669
1144,22065,1.5038
1145,22067,1.7301
1146,22069,0.3683
1147,22071,0.4378
1148,22073,0.2857
1149,22075,0.3534
1150,22077,2.0747
1151,22079,0.2481
1152,22081,1.1905
1153,22083,2.6906
1154,22085,0.4310
1155,22087,0.1600
1156,22089,0.3049
1157,22091,0.8403
1158,22093,0.3937
1159,22095,0.3670
1160,22097,0.2060
1161,22099,0.3101
1162,22101,0.4967
1163,22103,0.0346
1164,22105,0.4053
1165,22107,2.5641
1166,22109,0.2867
1167,22111,0.8584
1168,22113,0.2805
1169,22115,0.2994
1170,22117,0.5871
1171,22119,0.6849
1172,22121,0.6154
1173,22123,0.9524
1174,22125,#VALUE!
1175,22127,2.2556
1176,23001,0.3997
1177,23003,2.6359
1178,23005,0.3397
1179,23007,1.2821
1180,23009,1.2121
1181,23011,0.5158
1182,23013,0.8746
1183,23015,1.0453
1184,23017,0.7737
1185,23019,0.9382
1186,23021,1.4388
1187,23023,0.5479
1188,23025,1.0616
1189,23027,0.5333
1190,23029,4.7794
1191,23031,0.2234
1192,24001,0.2528
1193,24003,0.0566
1194,24005,0.1592
1195,24009,0.0977
1196,24011,0.8671
1197,24013,0.0547
1198,24015,0.1684
1199,24017,0.1461
1200,24019,1.1268
1201,24021,0.0337
1202,24023,1.4235
1203,24025,0.0686
1204,24027,0.0507
1205,24029,0.4926
1206,24031,0.1081
1207,24033,0.0962
1208,24035,0.2028
1209,24037,0.6211
1210,24039,0.1408
1211,24041,1.4451
1212,24043,0.2451
1213,24045,0.5544
1214,24047,0.6289
1215,24510,0.4409
1216,25001,0.5420
1217,25003,0.4386
1218,25005,0.1018
1219,25007,1.1628
1220,25009,0.3845
1221,25011,0.4027
1222,25013,0.2372
1223,25015,0.1898
1224,25017,0.0968
1225,25019,0.8264
1226,25021,0.0797
1227,25023,0.1385
1228,25025,0.6127
1229,25027,0.2376
1230,26001,3.2258
1231,26003,3.3898
1232,26005,0.1619
1233,26007,1.0989
1234,26009,1.6760
1235,26011,1.6393
1236,26013,3.2787
1237,26015,0.1645
1238,26017,0.2639
1239,26019,1.2579
1240,26021,0.4813
1241,26023,#VALUE!
1242,26025,0.1940
1243,26027,0.3968
1244,26029,0.9174
1245,26031,1.4925
1246,26033,1.2755
1247,26035,0.3876
1248,26037,0.1152
1249,26039,0.9259
1250,26041,0.5952
1251,26043,0.4184
1252,26045,0.0805
1253,26047,0.9740
1254,26049,0.1888
1255,26051,1.0309
1256,26053,1.8018
1257,26055,0.4990
1258,26057,0.2370
1259,26059,0.2053
1260,26061,1.1990
1261,26063,0.7968
1262,26065,0.1332
1263,26067,0.1531
1264,26069,1.0811
1265,26071,2.6316
1266,26073,0.2364
1267,26075,0.3521
1268,26077,0.1338
1269,26079,0.5988
1270,26081,0.1654
1271,26083,#VALUE!
1272,26085,1.2195
1273,26087,0.1131
1274,26089,1.1494
1275,26091,0.1953
1276,26093,0.0508
1277,26095,2.3810
1278,26097,2.4390
1279,26099,0.1170
1280,26101,1.6216
1281,26103,0.4796
1282,26105,0.3731
1283,26107,0.3584
1284,26109,1.4634
1285,26111,0.1072
1286,26113,1.3793
1287,26115,0.2460
1288,26117,0.3091
1289,26119,4.9180
1290,26121,0.2050
1291,26123,0.9132
1292,26125,0.0682
1293,26127,0.8658
1294,26129,1.1905
1295,26131,9.0909
1296,26133,0.4808
1297,26135,1.5625
1298,26137,0.4310
1299,26139,0.1099
1300,26141,3.4483
1301,26143,2.5478
1302,26145,0.4966
1303,26147,0.2786
1304,26149,3.2787
1305,26151,0.1359
1306,26153,0.1195
1307,26155,#VALUE!
1308,26157,0.2062
1309,26159,0.1287
1310,26161,0.1085
1311,26163,0.1624
1312,26165,0.5900
1313,27001,#VALUE!
1314,27003,0.0248
